Clothing ID,Review Text
861,"I received this shirt in my typical xs and it fits perfectly. i?m not crazy in love with it but i also don?t dislike. the shirt is on the thin side. do i need to wear a cami underneath it, no. my concern is holes. it does remind me of a material that could develop some holes after some wear and washes. with that being said i?ll wash this shirt in cold water and hang dry and hopefully that will prevent holes from developing. the length is fine and i do like the slits in front?it adds a little dim"
861,
861,"I was very excited to order this top in red xs. so cute, but it was huge, shapeless and support thin! it had to go back. i should've looked at other reviews."
861,"I am in need of easy comfortable tops for everyday wear. i bought this top mostly because of the cute buttons. when i received it, it looked exactly as it does in the picture online, however, the buttons kept slipping out of their homes because the holes were slightly too big. the shirt fit but was just a tad snug near the upper arms, which would stretch and loosen up throughout the day. it's definitely a comfortable shirt, but it felt more like a pajama top. it's going back."
861,"At first i wasn't sure about it. the neckline is much lower and wavy than i thought. but after wearing it, it really is comfortable. it stretches a lot, so i wear a cami underneath so when i lean forward i'm not showing the world my torso."
861,This is so thin and poor quality. especially for the price. it felt like a thin pajama top. the buttons are terrible little shell buttons. this could not have been returned faster.
861,"The perfect striped t-shirt, and the cute little buttons down the front are a wonderful accent with each one being different. i love it!"
861,"In my retailer this was hung over in the pj section, and it really has more of a jammie top feel... soft, thin and stretchy. it's super cozy and comfortable and it drapes really nice. mine seems to have stretched out a little, especially the neckline (and the little buttons have a hard time staying closed). i'm happy with it though for what it is - a great, casual day t."
861,
861,This is a perfect fit! i was worried that it would be too short and or boxy. i usually  wear an xs. i have a slightly longer waist though and often xs tops run short or they are overwhelming! this was perfect! it is roomy and long enough without swallowing my frame. it looks nice enough to dress up and wear out and about. great value at the sale price as well!! it is well made and doesn't just look like a run of the mill pullover.
861,"I was looking for a shirt of this style. i thought it was very cute, but it is not ""red' as advertised. it is really a brick orange-y color, which is definitely not what i wanted. very disappointed. sent it right back."
861,"This top will be perfect for autumn and even winter down in the southeast. i purchased the ""red"" and hoped that it was more of a rust color-lucked in! the material is very soft and more on the thinner side for layering-which is alway a plus. i have spare tires in my belly area and this does not grab aholed of them,in fact the stripes do the work and disguise! and the lace up nautical feel brings the attention to my money maker! you won't be disappointed"
861,"Really loved this - so soft and snuggly. was unsure about ordering shirt size - (s) or jacket size for layering (m). ordered a small. fits perfect! definitely wouldn't have wanted the medium. 5'4, 135 lbs for reference. love this one!!! great find."
861,Love this soft sweatshirt. the peplum makes it a little different and the quality is great. go to piece for spring. loose fitting but true to size in shoulders.
861,"I really like this jacket. very comfortable, nice material. i like the weight of this jacket, i wore it alone but it will be cute with a t-shirt under it too."
861,"This is great. on the model it looks largish, but on me it doesn't. if you're curvier like me (5'10"", 155, 32e) it may be more fitted. long arms with great wrists. design is just as shown. not a sturdy piece. but not cheap looking in any way. i plan to hand-wash and not drop coffee down the front so i can wear it for a long time. just what i want to wear on certain days, and more colors would be great. thanks, retailer."
861,"This top is so cute! love the stripes in the red print and the detailing of the buttons. however, it does run slightly big! i'm 5'8"", 145 and got the medium. it's so low in the front that i do have to wear a cami underneath. i see why they designed it a little larger since it comes up on the sides and it's supposed to be more of a relaxed fit. i typically love when shirts are long since i'm a little taller and this one hits perfectly in the front. it does dip down in the back and covers my bum ("
861,"I love this tee, it is comfortable and soft with the nice detail of buttons at the shoulders, a good v-neck, and subtle stripes. however it runs quite long! i thought i ordered the petite but i received a regular length tee and it was down to my thighs. so order a petite unless you are quite tall or like a tee to fall that low over your hip area."
861,"I bought the red motif for my summer wardrobe; i'll be on the road for most of the month of august and wanted to create a super comfortable capsule wardrobe that would launder without ironing. this top is well made, super soft, and works well with jeans, capris, skirts, and leggings due to its longer length over my posterior. i should have read the other reviews first though, this is a tad large and i needed to us invisible tape to keep everything from hanging out the front. i ordered a medium a"
861,"I originally ordered the peach stripe tee in my normal size, medium. after going to the store and trying another color on in a small i realized i should have sized down. i have since purchased the blue stripe in the smaller size. i love the fit and the colorful stripes of both. great light-weight, casual tee. i love the button details on the shoulder."
861,"Ordered this in xs my normal size (5'5"" 110 lbs) and it was huge! did not particularly care for the style either nothing special."
861,"Good quality shirt. cute design and not sheer. not quite as loose and stretchy as most of retailer's shirt, but good fit."
861,"I love the button details on this top. i was expecting the material to be thicker, but it's quite thin. it isn't sheer, but i will layer it for the winter months. overall the fit is true to size. i am 5'0, 110 lbs and the xxs fit me well. the arms were more snug than shown on the model and the shirt was loose without being too flowy or boxy."
861,"Fabric is soft and comfy, color is true to photo. the arms are a little tight now and i haven't washed it yet so i am a bit worried but still a keeper."
861,"I love this top!! in fact if it came in more colors, i'd buy a few more. it's just so soft and comfortable, wear it now in cooler weather with layers or later in spring and even cooler summer nights. the neckline is perfect, love the subtle details. it fits perfect in my usual size medium and is a good length to wear either with jeans or long enough for leggings with a cami peaking out beneath. yes, i love it, just wish there were more colors."
861,
861,Material is too thin and quality is poor
861,"This is a cute shirt, but it has slits at the bottom of the hem so that the front bottom of the shirt has this small rectangular ""flap."" it's not visible from the photo. i think it'll have to be returned for this reason."
861,
861,"This shirt is beautiful and so soft. it would have made a wonderful long-sleeved tee except for the fact that it was so low cut. the only way this is wearable is with a tank underneath which, for me, defeats the purpose of this type of shirt. i am rather busty (34 dd), so maybe if you are smaller on top you might could pull it off."
861,"I am 5 '4"", 124lbs, and 36 c - usually take a small or sometimes a medium in t.la tops. this top seems to run particularly large as i ended up with an xs."
861,"Love this top - it is a beautiful shade of blue and the buttons at the bottom add a nice touch. it is light weight and not too long or wide. i have other t.la tops in small, but the xsm worked better for me with this top."
861,"Every spring/summer i look forward to t.la's tanks & tees and stock up on them. sometimes it is difficult to determine the color online, but this top (i bought it in green) is without a doubt the same color in person as it is online. the color is a gorgeous sea green and the softest cotton tee (just keeps getting softer wash after wash) and the silver buttons on the side (what a unique twist to an everyday tee). now all i need is the blue one."
